n,citation,url
1,WHO Global Strategy for Infant and young child feeding 2003,https://www.who.int/publications/i/item/9241562218
2,Scientific Advisory Committee on Nutrition ( SACN ). Feeding in the first year of life . 2018,https://www.gov.uk/government/publications/feeding-in-the-first-year-of-life-sacn-report
3,"Tham R, Bowatte G, Dharmage SC, Tan DJ, Lau MX, Dai X and others. Breastfeeding and the risk of dental caries: a systematic review and meta-analysis . Acta Paediatrica 2015 Dec;104(467):62-84",https://www.ncbi.nlm.nih.gov/pubmed/26206663
4,"Walsh T, Worthington HV, Glenny AM, Marinho VC, Jeroncic A. Fluoride toothpastes of different concentrations for preventing dental caries . Cochrane Database of Systematic Reviews 2019; (3)",https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007868.pub3/full
5,SIGN Guidelines 138. Dental interventions to prevent caries in children . 2014,https://www.scottishdental.org/library/dental-interventions-to-prevent-caries-in-children-sign-138/
6,"Wong MCM, Glenny A-M, Tsang BWK, Lo ECM, Worthington HV, Marinho VCC. Topical fluoride as a cause of dental fluorosis in children . Cochrane Database of Systematic Reviews 2010; (1)",https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007693.pub2/full
7,"Moynihan PJ, Kelly SA. Effect on caries of restricting sugars intake: systematic review to inform WHO guidelines . Journal of Dental Research 2014 Jan;93(1):8-18. doi: 10.1177/0022034513508954. Epub 2013 Dec 9. PMID: 24323509; PMCID: PMC3872848",https://journals.sagepub.com/doi/abs/10.1177/0022034513508954
8,WHO Sugar Recommendations,https://www.who.int/publications/i/item/9789241549028
9,Scientific Advisory Committee on Nutrition ( SACN ). Carbohydrates and health . 2015,https://www.gov.uk/government/publications/sacn-carbohydrates-and-health-report
10,"Baghlaf K, Muirhead V, Moynihan P, Weston-Price S, Pine C. Free sugars consumption around bedtime and dental caries in children: a systematic review . Journal of Dental Research Clinical and Translational Research 2018 Apr;3(2):118-129. doi: 10.1177/2380084417749215",https://pubmed.ncbi.nlm.nih.gov/30931774/
