component_id,dboh_id,n_in_row,component_pos,domain,population,ch2_table,strength,strength_is_inherited,text,certainty_row,weakest_certainty_row,evidence_row,prose_bundle,needs_review,question_id,reviewed_by,reviewed_on
DBOH-001-c1,DBOH-001,3,1,dental caries,prevention of dental caries in children aged up to 3 years,1a,Strong,TRUE,Breastfed babies experience less tooth decay and breastfeeding provides the best nutrition for a baby’s overall health.,low; very low,very low,"Recommendation based on WHO guidelines, taking into account benefits of exclusive breastfeeding for first 6 months on overall health , as well as low certainty evidence of a dental caries-preventive effect . Weaning advice is from UK Scientific Advisory Committee on Nutrition ( SACN ) guidelines . Some very low certainty evidence of increase in dental caries risk beyond 12 months breastfeeding, bu",FALSE,TRUE,,,
DBOH-001-c2,DBOH-001,3,2,dental caries,prevention of dental caries in children aged up to 3 years,1a,Strong,TRUE,breastfeed exclusively for around the first 6 months of a baby’s life,low; very low,very low,"Recommendation based on WHO guidelines, taking into account benefits of exclusive breastfeeding for first 6 months on overall health , as well as low certainty evidence of a dental caries-preventive effect . Weaning advice is from UK Scientific Advisory Committee on Nutrition ( SACN ) guidelines . Some very low certainty evidence of increase in dental caries risk beyond 12 months breastfeeding, bu",FALSE,TRUE,,,
DBOH-001-c3,DBOH-001,3,3,dental caries,prevention of dental caries in children aged up to 3 years,1a,Strong,TRUE,continue breastfeeding while introducing solids from around the age of 6 months,low; very low,very low,"Recommendation based on WHO guidelines, taking into account benefits of exclusive breastfeeding for first 6 months on overall health , as well as low certainty evidence of a dental caries-preventive effect . Weaning advice is from UK Scientific Advisory Committee on Nutrition ( SACN ) guidelines . Some very low certainty evidence of increase in dental caries risk beyond 12 months breastfeeding, bu",FALSE,TRUE,,,
DBOH-002-c1,DBOH-002,5,1,dental caries,prevention of dental caries in children aged up to 3 years,1a,Strong,TRUE,as soon as they erupt,moderate; very low,very low,"Recommendation based on moderate certainty evidence for toothbrushing with fluoride toothpaste and concentration of 1,000ppm fluoride and above (the evidence for toothpaste 500 to 1,000ppm fluoride is inconclusive) . Low to very low certainty evidence around initiation stage, frequency and timing . Advice to use a smear only based on possible fluorosis risk (inconclusive evidence) .",FALSE,TRUE,,,
DBOH-002-c2,DBOH-002,5,2,dental caries,prevention of dental caries in children aged up to 3 years,1a,Strong,TRUE,twice a day,moderate; very low,very low,"Recommendation based on moderate certainty evidence for toothbrushing with fluoride toothpaste and concentration of 1,000ppm fluoride and above (the evidence for toothpaste 500 to 1,000ppm fluoride is inconclusive) . Low to very low certainty evidence around initiation stage, frequency and timing . Advice to use a smear only based on possible fluorosis risk (inconclusive evidence) .",FALSE,TRUE,,,
DBOH-002-c3,DBOH-002,5,3,dental caries,prevention of dental caries in children aged up to 3 years,1a,Strong,TRUE,last thing at night (or before bedtime) and on one other occasion,moderate; very low,very low,"Recommendation based on moderate certainty evidence for toothbrushing with fluoride toothpaste and concentration of 1,000ppm fluoride and above (the evidence for toothpaste 500 to 1,000ppm fluoride is inconclusive) . Low to very low certainty evidence around initiation stage, frequency and timing . Advice to use a smear only based on possible fluorosis risk (inconclusive evidence) .",FALSE,TRUE,,,
DBOH-002-c4,DBOH-002,5,4,dental caries,prevention of dental caries in children aged up to 3 years,1a,Strong,TRUE,"with a toothpaste containing at least 1,000ppm fluoride",moderate; very low,very low,"Recommendation based on moderate certainty evidence for toothbrushing with fluoride toothpaste and concentration of 1,000ppm fluoride and above (the evidence for toothpaste 500 to 1,000ppm fluoride is inconclusive) . Low to very low certainty evidence around initiation stage, frequency and timing . Advice to use a smear only based on possible fluorosis risk (inconclusive evidence) .",FALSE,TRUE,,,
DBOH-002-c5,DBOH-002,5,5,dental caries,prevention of dental caries in children aged up to 3 years,1a,Strong,TRUE,using only a smear of toothpaste,moderate; very low,very low,"Recommendation based on moderate certainty evidence for toothbrushing with fluoride toothpaste and concentration of 1,000ppm fluoride and above (the evidence for toothpaste 500 to 1,000ppm fluoride is inconclusive) . Low to very low certainty evidence around initiation stage, frequency and timing . Advice to use a smear only based on possible fluorosis risk (inconclusive evidence) .",FALSE,TRUE,,,
DBOH-003-c1,DBOH-003,1,1,dental caries,prevention of dental caries in children aged up to 3 years,1a,Strong,FALSE,Minimise consumption of sugar-containing foods and drinks,moderate; very low,very low,"Recommendation based on moderate-certainty evidence that dental caries is lower when free-sugars intake is <10% and on very low certainty evidence that dental caries is lower when free-sugars intake is <5% energy , and in line with WHO and SCAN guidelines .",FALSE,TRUE,,,
DBOH-004-c1,DBOH-004,3,1,dental caries,prevention of dental caries in children aged up to 3 years,1a,Good practice,TRUE,"only breastmilk, infant formula or cooled boiled water should be given in a bottle",,,,FALSE,TRUE,,,
