review_id,cited_version,cited_year,dboh_ids,strengths,n_rows,citation,status,latest_version,latest_date,latest_pmid,latest_doi,versions_behind,years_behind,newest_ever,newest_ever_date
CD002284,2,2016,DBOH-027 DBOH-032 DBOH-041,Conditional,3,"Marinho VCC, Chong LY, Worthington HV, Walsh T. [Fluoride mouthrinses for preventing dental caries in children and adolescents] (https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD002284.pub2",current,2,2016-07-29,27472005,10.1002/14651858.CD002284.pub2,0,0,2,2016-07-29
CD004148,4,2018,DBOH-078,Strong,1,"Kaner EFS, Beyer FR, Muirhead C, Campbell F, Pienaar ED, Bertholet N and others. Effectiveness of brief alcohol interventions in primary care populations . Cochrane Database of Systematic Reviews 2018",current,4,2018-02-24,29476653,10.1002/14651858.CD004148.pub4,0,0,4,2018-02-24
CD004625,5,2018,DBOH-052,Conditional,1,"Lamont T, Worthington HV, Clarkson JE, Beirne PV. Routine scale and polish for periodontal health in adults . Cochrane Database of Systematic Reviews 2018; (12). doi: 10.1002/14651858.CD004625.pub5",current,5,2018-12-27,30590875,10.1002/14651858.CD004625.pub5,0,0,5,2018-12-27
CD005084,4,2021,DBOH-075,Strong,1,"Holliday R, Hong B, McColl E, Livingstone-Banks J, Preshaw PM. Interventions for tobacco cessation delivered by dental professionals . Cochrane Database of Systematic Reviews 2021; (2). doi: 10.1002/1",current,4,2021-02-19,33605440,10.1002/14651858.CD005084.pub4,0,0,4,2021-02-19
CD005231,3,2016,DBOH-072,Strong,1,"Lindson‐Hawley N, Hartmann‐Boyce J, Fanshawe TR, Begh R, Farley A, Lancaster T. Interventions to reduce harm from continued tobacco use . Cochrane Database of Systematic Reviews 2016; (10). doi: 10.10",current,3,2016-10-13,27734465,10.1002/14651858.CD005231.pub3,0,0,3,2016-10-13
CD006103,7,2016,DBOH-072,Strong,1,"Cahill K, Lindson‐Hawley N, Thomas KH, Fanshawe TR, Lancaster T. Nicotine receptor partial agonists for smoking cessation . Cochrane Database of Systematic Reviews 2016; (5). doi: 10.1002/14651858.CD0",stale-since-review,7,2016-05-09,27158893,10.1002/14651858.CD006103.pub7,0,0,8,2023-05-05
CD008286,3,2016,DBOH-072,Strong,1,"Stead LF, Koilpillai P, Fanshawe TR, Lancaster T. Combined pharmacotherapy and behavioural interventions for smoking cessation . Cochrane Database of Systematic Reviews 2016; (3). doi: 10.1002/1465185",current,3,2016-03-24,27009521,10.1002/14651858.CD008286.pub3,0,0,3,2016-03-24
CD009329,2,2013,DBOH-072,Strong,1,"Cahill K, Stevens S, Perera R, Lancaster T. Pharmacological interventions for smoking cessation: an overview and network meta‐analysis . Cochrane Database of Systematic Reviews 2013; (5). doi: 10.1002",current,2,2013-05-31,23728690,10.1002/14651858.CD009329.pub2,0,0,2,2013-05-31
CD010216,3,2016,DBOH-074,Conditional,1,"Hartmann‐Boyce J, McRobbie H, Bullen C, Begh R, Stead LF, Hajek P. Electronic cigarettes for smoking cessation . Cochrane Database of Systematic Reviews 2016; (9). doi: 10.1002/14651858.CD010216.pub3",SUPERSEDED-AT-REVIEW,6,2021-09-14,34519354,10.1002/14651858.CD010216.pub6,3,5,11,2026-08-26
CD010276,2,2015,DBOH-084,Strong,1,"Macey R, Walsh T, Brocklehurst P, Kerr AR, Liu JLY, Lingen MW and others. Diagnostic tests for oral cancer and potentially malignant disorders in patients presenting with clinically evident lesions . ",SUPERSEDED-AT-REVIEW,3,2021-07-20,34282854,10.1002/14651858.CD010276.pub3,1,6,3,2021-07-20
CD012018,2,2019,DBOH-060,Conditional,1,"Worthington HW, MacDonald L, Poklepovic Pericic T, Sambunjak D, Johnson TM, Imai P and others. Home use of interdental cleaning devices, in addition to toothbrushing, for preventing and controlling pe",current,2,2019-04-10,30968949,10.1002/14651858.CD012018.pub2,0,0,2,2019-04-10
CD013308,1,2019,DBOH-072,Strong,1,"Lindson N, Chepkin SC, Ye W, Fanshawe TR, Bullen C, Hartmann‐Boyce J. Different doses, durations and modes of delivery of nicotine replacement therapy for smoking cessation . Cochrane Database of Syst",stale-since-review,1,2019-04-18,30997928,10.1002/14651858.CD013308,0,0,2,2023-06-19
